Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30.0,1.0
Query 2,1,10.0,1
Query 3,0,0.0,0
Query 4,3,30.0,-11.25
Query 5,1,10.0,0
Query 6,4,40.0,-8.7
Query 7,2,20.0,-4.0
Query 8,3,30.0,-17.25
Query 9,0,0.0,0
Query 10,1,10.0,0
Query 11,5,50.0,-0.2
Query 12,1,10.0,0
Query 13,5,50.0,-1.5
Query 14,3,30.0,-9.75
Query 15,2,20.0,-49.0
Query 16,0,0.0,0
Query 17,2,20.0,-52.0
Query 18,0,0.0,0
Query 19,4,40.0,-0.9
Query 20,3,30.0,-10.0
Query 21,2,20.0,-1.0
Query 22,0,0.0,0
Query 23,2,20.0,-24.0
Query 24,3,30.0,-3.75
Query 25,2,20.0,-57.0
Query 26,4,40.0,-0.8
Query 27,0,0.0,0
Query 28,3,30.0,0.5
Query 29,1,10.0,0
Query 30,2,20.0,-1.0
Query 31,3,30.0,-1.0
Query 32,0,0.0,0
Query 33,1,10.0,0
Query 34,2,20.0,-4.0
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,1,10.0,0
Query 38,3,30.0,-17.5
Query 39,2,20.0,0.0
Query 40,0,0.0,0
Query 41,3,30.0,-12.5
Query 42,1,10.0,1
Query 43,2,20.0,-64.0
Query 44,0,0.0,0
Query 45,1,10.0,0
Query 46,2,20.0,0.0
Query 47,0,0.0,0
Query 48,1,10.0,0
Query 49,3,30.0,-15.5
Query 50,2,20.0,-3.0
Query 51,3,30.0,-3.0
Query 52,2,20.0,-25.0
Query 53,1,10.0,0
Query 54,1,10.0,0
Query 55,1,10.0,0
Query 56,2,20.0,-1.0
Query 57,1,10.0,0
Query 58,0,0.0,0
Query 59,1,10.0,0
Query 60,1,10.0,0
Query 61,2,20.0,-73.0
Query 62,6,60.0,-2.63
Query 63,3,30.0,-11.5
Query 64,3,30.0,-12.0
Query 65,5,50.0,-3.7
Query 66,2,20.0,-16.0
Query 67,1,10.0,1
Query 68,3,30.0,-5.0
Query 69,0,0.0,0
Query 70,2,20.0,-3.0
Query 71,0,0.0,0
Query 72,2,20.0,-28.0
Query 73,3,30.0,-1.75
Query 74,0,0.0,0
Query 75,2,20.0,-39.0
Query 76,2,20.0,1.0
Query 77,5,50.0,0.85
Query 78,2,20.0,-4.0
Query 79,1,10.0,0
Query 80,1,10.0,0
Query 81,2,20.0,-1.0
Query 82,1,10.0,1
Query 83,2,20.0,-25.0
Query 84,0,0.0,0
Query 85,1,10.0,0
Query 86,3,30.0,-1.25
Query 87,1,10.0,0
Query 88,1,10.0,1
Query 89,3,30.0,1.0
Query 90,1,10.0,0
Query 91,5,50.0,-3.8
Query 92,0,0.0,0
Query 93,2,20.0,-1.0
Query 94,4,40.0,0.8
Query 95,0,0.0,0
Query 96,1,10.0,0
Query 97,1,10.0,1
Query 98,1,10.0,0
Query 99,0,0.0,0
Query 100,2,20.0,-9.0
Averages,1.8,17.9,-6.28
